Component,Component_KO,Chapter_Code,Chapter_Name_EN,Chapter_Name_KO,Item_Number,Total_in_Chapter,Full_Code,English_Term,Korean_Term,Definition_EN,Definition_KO,Status,Translator,Reviewer,Date_Started,Date_Completed,Priority,Notes
body_functions,Body Functions,b1,Mental Functions,정신 기능,36,65,b136,,,,,Not Started,,,,,High,
body_functions,Body Functions,b1,Mental Functions,정신 기능,37,65,b137,,,,,Not Started,,,,,High,
body_functions,Body Functions,b1,Mental Functions,정신 기능,38,65,b138,,,,,Not Started,,,,,High,
body_functions,Body Functions,b1,Mental Functions,정신 기능,39,65,b139,,,,,Not Started,,,,,High,
body_functions,Body Functions,b1,Mental Functions,정신 기능,40,65,b140,,,,,Not Started,,,,,High,
body_functions,Body Functions,b1,Mental Functions,정신 기능,41,65,b141,,,,,Not Started,,,,,High,
body_functions,Body Functions,b1,Mental Functions,정신 기능,42,65,b142,,,,,Not Started,,,,,High,
body_functions,Body Functions,b1,Mental Functions,정신 기능,43,65,b143,,,,,Not Started,,,,,High,
body_functions,Body Functions,b1,Mental Functions,정신 기능,44,65,b144,,,,,Not Started,,,,,High,
body_functions,Body Functions,b1,Mental Functions,정신 기능,45,65,b145,,,,,Not Started,,,,,High,
body_functions,Body Functions,b1,Mental Functions,정신 기능,46,65,b146,,,,,Not Started,,,,,High,
body_functions,Body Functions,b1,Mental Functions,정신 기능,47,65,b147,,,,,Not Started,,,,,High,
body_functions,Body Functions,b1,Mental Functions,정신 기능,48,65,b148,,,,,Not Started,,,,,High,
body_functions,Body Functions,b1,Mental Functions,정신 기능,49,65,b149,,,,,Not Started,,,,,High,
body_functions,Body Functions,b1,Mental Functions,정신 기능,50,65,b150,,,,,Not Started,,,,,High,
body_functions,Body Functions,b1,Mental Functions,정신 기능,51,65,b151,,,,,Not Started,,,,,High,
body_functions,Body Functions,b1,Mental Functions,정신 기능,52,65,b152,,,,,Not Started,,,,,High,
body_functions,Body Functions,b1,Mental Functions,정신 기능,53,65,b153,,,,,Not Started,,,,,High,
body_functions,Body Functions,b1,Mental Functions,정신 기능,54,65,b154,,,,,Not Started,,,,,High,
body_functions,Body Functions,b1,Mental Functions,정신 기능,55,65,b155,,,,,Not Started,,,,,High,
body_functions,Body Functions,b1,Mental Functions,정신 기능,56,65,b156,,,,,Not Started,,,,,High,
body_functions,Body Functions,b1,Mental Functions,정신 기능,57,65,b157,,,,,Not Started,,,,,High,
body_functions,Body Functions,b1,Mental Functions,정신 기능,58,65,b158,,,,,Not Started,,,,,High,
body_functions,Body Functions,b1,Mental Functions,정신 기능,59,65,b159,,,,,Not Started,,,,,High,
body_functions,Body Functions,b1,Mental Functions,정신 기능,60,65,b160,,,,,Not Started,,,,,High,
body_functions,Body Functions,b1,Mental Functions,정신 기능,61,65,b161,,,,,Not Started,,,,,High,
body_functions,Body Functions,b1,Mental Functions,정신 기능,62,65,b162,,,,,Not Started,,,,,High,
body_functions,Body Functions,b1,Mental Functions,정신 기능,63,65,b163,,,,,Not Started,,,,,High,
body_functions,Body Functions,b1,Mental Functions,정신 기능,64,65,b164,,,,,Not Started,,,,,High,
body_functions,Body Functions,b1,Mental Functions,정신 기능,65,65,b165,,,,,Not Started,,,,,High,
body_functions,Body Functions,b2,Sensory Functions and Pain,감각 기능 및 통증,1,45,b201,,,,,Not Started,,,,,High,
body_functions,Body Functions,b2,Sensory Functions and Pain,감각 기능 및 통증,2,45,b202,,,,,Not Started,,,,,High,
body_functions,Body Functions,b2,Sensory Functions and Pain,감각 기능 및 통증,3,45,b203,,,,,Not Started,,,,,High,
body_functions,Body Functions,b2,Sensory Functions and Pain,감각 기능 및 통증,4,45,b204,,,,,Not Started,,,,,High,
body_functions,Body Functions,b2,Sensory Functions and Pain,감각 기능 및 통증,5,45,b205,,,,,Not Started,,,,,High,
body_functions,Body Functions,b2,Sensory Functions and Pain,감각 기능 및 통증,6,45,b206,,,,,Not Started,,,,,High,
body_functions,Body Functions,b2,Sensory Functions and Pain,감각 기능 및 통증,7,45,b207,,,,,Not Started,,,,,High,
body_functions,Body Functions,b2,Sensory Functions and Pain,감각 기능 및 통증,8,45,b208,,,,,Not Started,,,,,High,
body_functions,Body Functions,b2,Sensory Functions and Pain,감각 기능 및 통증,9,45,b209,,,,,Not Started,,,,,High,
body_functions,Body Functions,b2,Sensory Functions and Pain,감각 기능 및 통증,10,45,b210,,,,,Not Started,,,,,High,
body_functions,Body Functions,b2,Sensory Functions and Pain,감각 기능 및 통증,11,45,b211,,,,,Not Started,,,,,High,
body_functions,Body Functions,b2,Sensory Functions and Pain,감각 기능 및 통증,12,45,b212,,,,,Not Started,,,,,High,
body_functions,Body Functions,b2,Sensory Functions and Pain,감각 기능 및 통증,13,45,b213,,,,,Not Started,,,,,High,
body_functions,Body Functions,b2,Sensory Functions and Pain,감각 기능 및 통증,14,45,b214,,,,,Not Started,,,,,High,
body_functions,Body Functions,b2,Sensory Functions and Pain,감각 기능 및 통증,15,45,b215,,,,,Not Started,,,,,High,
body_functions,Body Functions,b2,Sensory Functions and Pain,감각 기능 및 통증,16,45,b216,,,,,Not Started,,,,,High,
body_functions,Body Functions,b2,Sensory Functions and Pain,감각 기능 및 통증,17,45,b217,,,,,Not Started,,,,,High,
body_functions,Body Functions,b2,Sensory Functions and Pain,감각 기능 및 통증,18,45,b218,,,,,Not Started,,,,,High,
body_functions,Body Functions,b2,Sensory Functions and Pain,감각 기능 및 통증,19,45,b219,,,,,Not Started,,,,,High,
body_functions,Body Functions,b2,Sensory Functions and Pain,감각 기능 및 통증,20,45,b220,,,,,Not Started,,,,,High,
body_functions,Body Functions,b2,Sensory Functions and Pain,감각 기능 및 통증,21,45,b221,,,,,Not Started,,,,,High,
body_functions,Body Functions,b2,Sensory Functions and Pain,감각 기능 및 통증,22,45,b222,,,,,Not Started,,,,,High,
body_functions,Body Functions,b2,Sensory Functions and Pain,감각 기능 및 통증,23,45,b223,,,,,Not Started,,,,,High,
body_functions,Body Functions,b2,Sensory Functions and Pain,감각 기능 및 통증,24,45,b224,,,,,Not Started,,,,,High,
body_functions,Body Functions,b2,Sensory Functions and Pain,감각 기능 및 통증,25,45,b225,,,,,Not Started,,,,,High,
body_functions,Body Functions,b2,Sensory Functions and Pain,감각 기능 및 통증,26,45,b226,,,,,Not Started,,,,,High,
body_functions,Body Functions,b2,Sensory Functions and Pain,감각 기능 및 통증,27,45,b227,,,,,Not Started,,,,,High,
body_functions,Body Functions,b2,Sensory Functions and Pain,감각 기능 및 통증,28,45,b228,,,,,Not Started,,,,,High,
body_functions,Body Functions,b2,Sensory Functions and Pain,감각 기능 및 통증,29,45,b229,,,,,Not Started,,,,,High,
body_functions,Body Functions,b2,Sensory Functions and Pain,감각 기능 및 통증,30,45,b230,,,,,Not Started,,,,,High,
body_functions,Body Functions,b2,Sensory Functions and Pain,감각 기능 및 통증,31,45,b231,,,,,Not Started,,,,,High,
body_functions,Body Functions,b2,Sensory Functions and Pain,감각 기능 및 통증,32,45,b232,,,,,Not Started,,,,,High,
body_functions,Body Functions,b2,Sensory Functions and Pain,감각 기능 및 통증,33,45,b233,,,,,Not Started,,,,,High,
body_functions,Body Functions,b2,Sensory Functions and Pain,감각 기능 및 통증,34,45,b234,,,,,Not Started,,,,,High,
body_functions,Body Functions,b2,Sensory Functions and Pain,감각 기능 및 통증,35,45,b235,,,,,Not Started,,,,,High,
body_functions,Body Functions,b2,Sensory Functions and Pain,감각 기능 및 통증,36,45,b236,,,,,Not Started,,,,,High,
body_functions,Body Functions,b2,Sensory Functions and Pain,감각 기능 및 통증,37,45,b237,,,,,Not Started,,,,,High,
body_functions,Body Functions,b2,Sensory Functions and Pain,감각 기능 및 통증,38,45,b238,,,,,Not Started,,,,,High,
body_functions,Body Functions,b2,Sensory Functions and Pain,감각 기능 및 통증,39,45,b239,,,,,Not Started,,,,,High,
body_functions,Body Functions,b2,Sensory Functions and Pain,감각 기능 및 통증,40,45,b240,,,,,Not Started,,,,,High,
body_functions,Body Functions,b2,Sensory Functions and Pain,감각 기능 및 통증,41,45,b241,,,,,Not Started,,,,,High,
body_functions,Body Functions,b2,Sensory Functions and Pain,감각 기능 및 통증,42,45,b242,,,,,Not Started,,,,,High,
body_functions,Body Functions,b2,Sensory Functions and Pain,감각 기능 및 통증,43,45,b243,,,,,Not Started,,,,,High,
body_functions,Body Functions,b2,Sensory Functions and Pain,감각 기능 및 통증,44,45,b244,,,,,Not Started,,,,,High,
body_functions,Body Functions,b2,Sensory Functions and Pain,감각 기능 및 통증,45,45,b245,,,,,Not Started,,,,,High,
body_functions,Body Functions,b3,Voice and Speech Functions,음성 및 말 기능,1,35,b301,,,,,Not Started,,,,,High,
body_functions,Body Functions,b3,Voice and Speech Functions,음성 및 말 기능,2,35,b302,,,,,Not Started,,,,,High,
body_functions,Body Functions,b3,Voice and Speech Functions,음성 및 말 기능,3,35,b303,,,,,Not Started,,,,,High,
body_functions,Body Functions,b3,Voice and Speech Functions,음성 및 말 기능,4,35,b304,,,,,Not Started,,,,,High,
body_functions,Body Functions,b3,Voice and Speech Functions,음성 및 말 기능,5,35,b305,,,,,Not Started,,,,,High,
body_functions,Body Functions,b3,Voice and Speech Functions,음성 및 말 기능,6,35,b306,,,,,Not Started,,,,,High,
body_functions,Body Functions,b3,Voice and Speech Functions,음성 및 말 기능,7,35,b307,,,,,Not Started,,,,,High,
body_functions,Body Functions,b3,Voice and Speech Functions,음성 및 말 기능,8,35,b308,,,,,Not Started,,,,,High,
body_functions,Body Functions,b3,Voice and Speech Functions,음성 및 말 기능,9,35,b309,,,,,Not Started,,,,,High,
body_functions,Body Functions,b3,Voice and Speech Functions,음성 및 말 기능,10,35,b310,,,,,Not Started,,,,,High,
body_functions,Body Functions,b3,Voice and Speech Functions,음성 및 말 기능,11,35,b311,,,,,Not Started,,,,,High,
body_functions,Body Functions,b3,Voice and Speech Functions,음성 및 말 기능,12,35,b312,,,,,Not Started,,,,,High,
body_functions,Body Functions,b3,Voice and Speech Functions,음성 및 말 기능,13,35,b313,,,,,Not Started,,,,,High,
body_functions,Body Functions,b3,Voice and Speech Functions,음성 및 말 기능,14,35,b314,,,,,Not Started,,,,,High,
body_functions,Body Functions,b3,Voice and Speech Functions,음성 및 말 기능,15,35,b315,,,,,Not Started,,,,,High,
body_functions,Body Functions,b3,Voice and Speech Functions,음성 및 말 기능,16,35,b316,,,,,Not Started,,,,,High,
body_functions,Body Functions,b3,Voice and Speech Functions,음성 및 말 기능,17,35,b317,,,,,Not Started,,,,,High,
body_functions,Body Functions,b3,Voice and Speech Functions,음성 및 말 기능,18,35,b318,,,,,Not Started,,,,,High,
body_functions,Body Functions,b3,Voice and Speech Functions,음성 및 말 기능,19,35,b319,,,,,Not Started,,,,,High,
body_functions,Body Functions,b3,Voice and Speech Functions,음성 및 말 기능,20,35,b320,,,,,Not Started,,,,,High,
body_functions,Body Functions,b3,Voice and Speech Functions,음성 및 말 기능,21,35,b321,,,,,Not Started,,,,,High,
body_functions,Body Functions,b3,Voice and Speech Functions,음성 및 말 기능,22,35,b322,,,,,Not Started,,,,,High,
body_functions,Body Functions,b3,Voice and Speech Functions,음성 및 말 기능,23,35,b323,,,,,Not Started,,,,,High,
body_functions,Body Functions,b3,Voice and Speech Functions,음성 및 말 기능,24,35,b324,,,,,Not Started,,,,,High,
body_functions,Body Functions,b3,Voice and Speech Functions,음성 및 말 기능,25,35,b325,,,,,Not Started,,,,,High,
body_functions,Body Functions,b3,Voice and Speech Functions,음성 및 말 기능,26,35,b326,,,,,Not Started,,,,,High,
body_functions,Body Functions,b3,Voice and Speech Functions,음성 및 말 기능,27,35,b327,,,,,Not Started,,,,,High,
body_functions,Body Functions,b3,Voice and Speech Functions,음성 및 말 기능,28,35,b328,,,,,Not Started,,,,,High,
body_functions,Body Functions,b3,Voice and Speech Functions,음성 및 말 기능,29,35,b329,,,,,Not Started,,,,,High,
body_functions,Body Functions,b3,Voice and Speech Functions,음성 및 말 기능,30,35,b330,,,,,Not Started,,,,,High,
body_functions,Body Functions,b3,Voice and Speech Functions,음성 및 말 기능,31,35,b331,,,,,Not Started,,,,,High,
body_functions,Body Functions,b3,Voice and Speech Functions,음성 및 말 기능,32,35,b332,,,,,Not Started,,,,,High,
body_functions,Body Functions,b3,Voice and Speech Functions,음성 및 말 기능,33,35,b333,,,,,Not Started,,,,,High,
body_functions,Body Functions,b3,Voice and Speech Functions,음성 및 말 기능,34,35,b334,,,,,Not Started,,,,,High,
body_functions,Body Functions,b3,Voice and Speech Functions,음성 및 말 기능,35,35,b335,,,,,Not Started,,,,,High,
body_functions,Body Functions,b4,"Cardiovascular, Haematological, Immunological and Respiratory Systems","심혈관, 혈액, 면역 및 호흡계 기능",1,55,b401,,,,,Not Started,,,,,High,
body_functions,Body Functions,b4,"Cardiovascular, Haematological, Immunological and Respiratory Systems","심혈관, 혈액, 면역 및 호흡계 기능",2,55,b402,,,,,Not Started,,,,,High,
body_functions,Body Functions,b4,"Cardiovascular, Haematological, Immunological and Respiratory Systems","심혈관, 혈액, 면역 및 호흡계 기능",3,55,b403,,,,,Not Started,,,,,High,
body_functions,Body Functions,b4,"Cardiovascular, Haematological, Immunological and Respiratory Systems","심혈관, 혈액, 면역 및 호흡계 기능",4,55,b404,,,,,Not Started,,,,,High,
body_functions,Body Functions,b4,"Cardiovascular, Haematological, Immunological and Respiratory Systems","심혈관, 혈액, 면역 및 호흡계 기능",5,55,b405,,,,,Not Started,,,,,High,
body_functions,Body Functions,b4,"Cardiovascular, Haematological, Immunological and Respiratory Systems","심혈관, 혈액, 면역 및 호흡계 기능",6,55,b406,,,,,Not Started,,,,,High,
body_functions,Body Functions,b4,"Cardiovascular, Haematological, Immunological and Respiratory Systems","심혈관, 혈액, 면역 및 호흡계 기능",7,55,b407,,,,,Not Started,,,,,High,
body_functions,Body Functions,b4,"Cardiovascular, Haematological, Immunological and Respiratory Systems","심혈관, 혈액, 면역 및 호흡계 기능",8,55,b408,,,,,Not Started,,,,,High,
body_functions,Body Functions,b4,"Cardiovascular, Haematological, Immunological and Respiratory Systems","심혈관, 혈액, 면역 및 호흡계 기능",9,55,b409,,,,,Not Started,,,,,High,
body_functions,Body Functions,b4,"Cardiovascular, Haematological, Immunological and Respiratory Systems","심혈관, 혈액, 면역 및 호흡계 기능",10,55,b410,,,,,Not Started,,,,,High,
body_functions,Body Functions,b4,"Cardiovascular, Haematological, Immunological and Respiratory Systems","심혈관, 혈액, 면역 및 호흡계 기능",11,55,b411,,,,,Not Started,,,,,High,
body_functions,Body Functions,b4,"Cardiovascular, Haematological, Immunological and Respiratory Systems","심혈관, 혈액, 면역 및 호흡계 기능",12,55,b412,,,,,Not Started,,,,,High,
body_functions,Body Functions,b4,"Cardiovascular, Haematological, Immunological and Respiratory Systems","심혈관, 혈액, 면역 및 호흡계 기능",13,55,b413,,,,,Not Started,,,,,High,
body_functions,Body Functions,b4,"Cardiovascular, Haematological, Immunological and Respiratory Systems","심혈관, 혈액, 면역 및 호흡계 기능",14,55,b414,,,,,Not Started,,,,,High,
body_functions,Body Functions,b4,"Cardiovascular, Haematological, Immunological and Respiratory Systems","심혈관, 혈액, 면역 및 호흡계 기능",15,55,b415,,,,,Not Started,,,,,High,
body_functions,Body Functions,b4,"Cardiovascular, Haematological, Immunological and Respiratory Systems","심혈관, 혈액, 면역 및 호흡계 기능",16,55,b416,,,,,Not Started,,,,,High,
body_functions,Body Functions,b4,"Cardiovascular, Haematological, Immunological and Respiratory Systems","심혈관, 혈액, 면역 및 호흡계 기능",17,55,b417,,,,,Not Started,,,,,High,
body_functions,Body Functions,b4,"Cardiovascular, Haematological, Immunological and Respiratory Systems","심혈관, 혈액, 면역 및 호흡계 기능",18,55,b418,,,,,Not Started,,,,,High,
body_functions,Body Functions,b4,"Cardiovascular, Haematological, Immunological and Respiratory Systems","심혈관, 혈액, 면역 및 호흡계 기능",19,55,b419,,,,,Not Started,,,,,High,
body_functions,Body Functions,b4,"Cardiovascular, Haematological, Immunological and Respiratory Systems","심혈관, 혈액, 면역 및 호흡계 기능",20,55,b420,,,,,Not Started,,,,,High,
body_functions,Body Functions,b4,"Cardiovascular, Haematological, Immunological and Respiratory Systems","심혈관, 혈액, 면역 및 호흡계 기능",21,55,b421,,,,,Not Started,,,,,High,
body_functions,Body Functions,b4,"Cardiovascular, Haematological, Immunological and Respiratory Systems","심혈관, 혈액, 면역 및 호흡계 기능",22,55,b422,,,,,Not Started,,,,,High,
body_functions,Body Functions,b4,"Cardiovascular, Haematological, Immunological and Respiratory Systems","심혈관, 혈액, 면역 및 호흡계 기능",23,55,b423,,,,,Not Started,,,,,High,
body_functions,Body Functions,b4,"Cardiovascular, Haematological, Immunological and Respiratory Systems","심혈관, 혈액, 면역 및 호흡계 기능",24,55,b424,,,,,Not Started,,,,,High,
body_functions,Body Functions,b4,"Cardiovascular, Haematological, Immunological and Respiratory Systems","심혈관, 혈액, 면역 및 호흡계 기능",25,55,b425,,,,,Not Started,,,,,High,
body_functions,Body Functions,b4,"Cardiovascular, Haematological, Immunological and Respiratory Systems","심혈관, 혈액, 면역 및 호흡계 기능",26,55,b426,,,,,Not Started,,,,,High,
body_functions,Body Functions,b4,"Cardiovascular, Haematological, Immunological and Respiratory Systems","심혈관, 혈액, 면역 및 호흡계 기능",27,55,b427,,,,,Not Started,,,,,High,
body_functions,Body Functions,b4,"Cardiovascular, Haematological, Immunological and Respiratory Systems","심혈관, 혈액, 면역 및 호흡계 기능",28,55,b428,,,,,Not Started,,,,,High,
body_functions,Body Functions,b4,"Cardiovascular, Haematological, Immunological and Respiratory Systems","심혈관, 혈액, 면역 및 호흡계 기능",29,55,b429,,,,,Not Started,,,,,High,
body_functions,Body Functions,b4,"Cardiovascular, Haematological, Immunological and Respiratory Systems","심혈관, 혈액, 면역 및 호흡계 기능",30,55,b430,,,,,Not Started,,,,,High,
body_functions,Body Functions,b4,"Cardiovascular, Haematological, Immunological and Respiratory Systems","심혈관, 혈액, 면역 및 호흡계 기능",31,55,b431,,,,,Not Started,,,,,High,
body_functions,Body Functions,b4,"Cardiovascular, Haematological, Immunological and Respiratory Systems","심혈관, 혈액, 면역 및 호흡계 기능",32,55,b432,,,,,Not Started,,,,,High,
body_functions,Body Functions,b4,"Cardiovascular, Haematological, Immunological and Respiratory Systems","심혈관, 혈액, 면역 및 호흡계 기능",33,55,b433,,,,,Not Started,,,,,High,
body_functions,Body Functions,b4,"Cardiovascular, Haematological, Immunological and Respiratory Systems","심혈관, 혈액, 면역 및 호흡계 기능",34,55,b434,,,,,Not Started,,,,,High,
body_functions,Body Functions,b4,"Cardiovascular, Haematological, Immunological and Respiratory Systems","심혈관, 혈액, 면역 및 호흡계 기능",35,55,b435,,,,,Not Started,,,,,High,
body_functions,Body Functions,b4,"Cardiovascular, Haematological, Immunological and Respiratory Systems","심혈관, 혈액, 면역 및 호흡계 기능",36,55,b436,,,,,Not Started,,,,,High,
body_functions,Body Functions,b4,"Cardiovascular, Haematological, Immunological and Respiratory Systems","심혈관, 혈액, 면역 및 호흡계 기능",37,55,b437,,,,,Not Started,,,,,High,
body_functions,Body Functions,b4,"Cardiovascular, Haematological, Immunological and Respiratory Systems","심혈관, 혈액, 면역 및 호흡계 기능",38,55,b438,,,,,Not Started,,,,,High,
body_functions,Body Functions,b4,"Cardiovascular, Haematological, Immunological and Respiratory Systems","심혈관, 혈액, 면역 및 호흡계 기능",39,55,b439,,,,,Not Started,,,,,High,
body_functions,Body Functions,b4,"Cardiovascular, Haematological, Immunological and Respiratory Systems","심혈관, 혈액, 면역 및 호흡계 기능",40,55,b440,,,,,Not Started,,,,,High,
body_functions,Body Functions,b4,"Cardiovascular, Haematological, Immunological and Respiratory Systems","심혈관, 혈액, 면역 및 호흡계 기능",41,55,b441,,,,,Not Started,,,,,High,
body_functions,Body Functions,b4,"Cardiovascular, Haematological, Immunological and Respiratory Systems","심혈관, 혈액, 면역 및 호흡계 기능",42,55,b442,,,,,Not Started,,,,,High,
body_functions,Body Functions,b4,"Cardiovascular, Haematological, Immunological and Respiratory Systems","심혈관, 혈액, 면역 및 호흡계 기능",43,55,b443,,,,,Not Started,,,,,High,
body_functions,Body Functions,b4,"Cardiovascular, Haematological, Immunological and Respiratory Systems","심혈관, 혈액, 면역 및 호흡계 기능",44,55,b444,,,,,Not Started,,,,,High,
body_functions,Body Functions,b4,"Cardiovascular, Haematological, Immunological and Respiratory Systems","심혈관, 혈액, 면역 및 호흡계 기능",45,55,b445,,,,,Not Started,,,,,High,
body_functions,Body Functions,b4,"Cardiovascular, Haematological, Immunological and Respiratory Systems","심혈관, 혈액, 면역 및 호흡계 기능",46,55,b446,,,,,Not Started,,,,,High,
body_functions,Body Functions,b4,"Cardiovascular, Haematological, Immunological and Respiratory Systems","심혈관, 혈액, 면역 및 호흡계 기능",47,55,b447,,,,,Not Started,,,,,High,
body_functions,Body Functions,b4,"Cardiovascular, Haematological, Immunological and Respiratory Systems","심혈관, 혈액, 면역 및 호흡계 기능",48,55,b448,,,,,Not Started,,,,,High,
body_functions,Body Functions,b4,"Cardiovascular, Haematological, Immunological and Respiratory Systems","심혈관, 혈액, 면역 및 호흡계 기능",49,55,b449,,,,,Not Started,,,,,High,
body_functions,Body Functions,b4,"Cardiovascular, Haematological, Immunological and Respiratory Systems","심혈관, 혈액, 면역 및 호흡계 기능",50,55,b450,,,,,Not Started,,,,,High,
body_functions,Body Functions,b4,"Cardiovascular, Haematological, Immunological and Respiratory Systems","심혈관, 혈액, 면역 및 호흡계 기능",51,55,b451,,,,,Not Started,,,,,High,
body_functions,Body Functions,b4,"Cardiovascular, Haematological, Immunological and Respiratory Systems","심혈관, 혈액, 면역 및 호흡계 기능",52,55,b452,,,,,Not Started,,,,,High,
body_functions,Body Functions,b4,"Cardiovascular, Haematological, Immunological and Respiratory Systems","심혈관, 혈액, 면역 및 호흡계 기능",53,55,b453,,,,,Not Started,,,,,High,
body_functions,Body Functions,b4,"Cardiovascular, Haematological, Immunological and Respiratory Systems","심혈관, 혈액, 면역 및 호흡계 기능",54,55,b454,,,,,Not Started,,,,,High,
body_functions,Body Functions,b4,"Cardiovascular, Haematological, Immunological and Respiratory Systems","심혈관, 혈액, 면역 및 호흡계 기능",55,55,b455,,,,,Not Started,,,,,High,
body_functions,Body Functions,b5,"Digestive, Metabolic, Endocrine Systems","소화, 대사 및 내분비계 기능",1,65,b501,,,,,Not Started,,,,,High,
body_functions,Body Functions,b5,"Digestive, Metabolic, Endocrine Systems","소화, 대사 및 내분비계 기능",2,65,b502,,,,,Not Started,,,,,High,
body_functions,Body Functions,b5,"Digestive, Metabolic, Endocrine Systems","소화, 대사 및 내분비계 기능",3,65,b503,,,,,Not Started,,,,,High,
body_functions,Body Functions,b5,"Digestive, Metabolic, Endocrine Systems","소화, 대사 및 내분비계 기능",4,65,b504,,,,,Not Started,,,,,High,
body_functions,Body Functions,b5,"Digestive, Metabolic, Endocrine Systems","소화, 대사 및 내분비계 기능",5,65,b505,,,,,Not Started,,,,,High,
body_functions,Body Functions,b5,"Digestive, Metabolic, Endocrine Systems","소화, 대사 및 내분비계 기능",6,65,b506,,,,,Not Started,,,,,High,
body_functions,Body Functions,b5,"Digestive, Metabolic, Endocrine Systems","소화, 대사 및 내분비계 기능",7,65,b507,,,,,Not Started,,,,,High,
body_functions,Body Functions,b5,"Digestive, Metabolic, Endocrine Systems","소화, 대사 및 내분비계 기능",8,65,b508,,,,,Not Started,,,,,High,
body_functions,Body Functions,b5,"Digestive, Metabolic, Endocrine Systems","소화, 대사 및 내분비계 기능",9,65,b509,,,,,Not Started,,,,,High,
body_functions,Body Functions,b5,"Digestive, Metabolic, Endocrine Systems","소화, 대사 및 내분비계 기능",10,65,b510,,,,,Not Started,,,,,High,
body_functions,Body Functions,b5,"Digestive, Metabolic, Endocrine Systems","소화, 대사 및 내분비계 기능",11,65,b511,,,,,Not Started,,,,,High,
